"Fecha contable",Lugar,Mes,Tipo,Nut,Valor,Numero,Concepto,"Saldo Desp.Mov",Descripcion,"Fecha Real",,
2020-07-02,"Gua-Principal ",7,N/C,5268415,4796.49,517,"NO.RECAP:001394F1200702C PLA233602 MC.PAGO A ESTABL.233602000000000000     ",8289.05,Ocp-Pagos,"03/07/2020 3:16:55",,
2020-07-03,Gua-Unicentro,7,DEP,1387520,96,220308927,"EFE.: 96.00",8385.05,Depositos,"03/07/2020 15:54:33",,
2020-07-03,Gua-Unicentro,7,DEP,1386320,240,220308928,"EFE.: 240.00",8625.05,Depositos,"03/07/2020 15:55:39",,
2020-07-03,Gua-Unicentro,7,DEP,1385520,5180,220308926,"LOC.: 5,180.00",13805.05,Depositos,"03/07/2020 15:56:37",,
2020-07-03,Gua-Unicentro,7,CHE,1383820,422.4,2220,"Pago De Cheques Normal Ventani",13382.65,"Pago De Cheques Normal Ventanilla","03/07/2020 15:58:28",,
2020-07-03,"Gua-Principal ",7,N/C,5820875,30.79,517,"NO.RECAP:001395F1200703C PLA240469 MC.PAGO A ESTABL.240469000000000000     ",13413.44,Ocp-Pagos,"04/07/2020 0:16:29",,
2020-07-03,"Gua-Principal ",7,N/C,5825321,137.52,517,"NO.RECAP:001395F1200703C PLA238659 MC.PAGO A ESTABL.238659000000000000     ",13550.96,Ocp-Pagos,"04/07/2020 0:27:59",,
2020-07-06,"Gua-Principal ",7,CHE,,42,2218,"Pago De Cheques Normal Camara",13508.96,"Pago De Cheques Normal Camara","04/07/2020 6:21:55",,
2020-07-06,"Gua-Principal ",7,N/D,,1561.12,3056," Cfn Pce-40247032 Sec-186360  Por Cobro Comision Del 0.71 Y ",11947.84,"Notas De Debito Sin Ruta - Cuentas Y Servicios,N/D  Tran","06/07/2020 9:53:10",,
2020-07-06,"Gua-Principal ",7,N/C,,54725,3494,"Prestamo # 40247032",66672.84,"Notas De Credito - Colocaciones","06/07/2020 15:55:57",,
2020-07-06,"Gua-Principal ",7,N/C,,45,1641," Int. 1042647290 A 7850557 - Pago Mes Junio Estela Hilaca",66717.84,"Transferencia Intermatico","06/07/2020 16:40:53",,
2020-07-06,"Gua-Principal ",7,N/C,6424209,9.78,517,"NO.RECAP:001397F1200706C PLA247010 MC.PAGO A ESTABL.247010000000000000     ",66727.62,Ocp-Pagos,"07/07/2020 5:34:36",,
2020-07-06,"Gua-Principal ",7,N/C,6431410,52.52,517,"NO.RECAP:001397F1200706C PLA244237 MC.PAGO A ESTABL.244237000000000000     ",66780.14,Ocp-Pagos,"07/07/2020 5:53:04",,
2020-07-07,"Gua-Alban Borja",7,DEP,2650120,40,1,"EFE.: 40.00",66820.14,Depositos,"07/07/2020 13:42:07",,
2020-07-07,"Gua-Alban Borja",7,CHE,2649720,1315.46,2249,"Pago De Cheques Normal Ventani",65504.68,"Pago De Cheques Normal Ventanilla","07/07/2020 13:43:03",,
2020-07-07,"Gua-Alban Borja",7,CHE,2623920,1122.42,2255,"Pago De Cheques Normal Ventani",64382.26,"Pago De Cheques Normal Ventanilla","07/07/2020 14:39:05",,
2020-07-07,"Gua-Alban Borja",7,CHE,2586320,531.27,2251,"Pago De Cheques Normal Ventani",63850.99,"Pago De Cheques Normal Ventanilla","07/07/2020 15:52:00",,
2020-07-07,"Gua-Alban Borja",7,CHE,2586020,633.87,2248,"Pago De Cheques Normal Ventani",63217.12,"Pago De Cheques Normal Ventanilla","07/07/2020 15:52:14",,
2020-07-07,"Gua-Principal ",7,N/D,6786499,5.32,830,"Df 00000000002536782         . Ocp105-Datafast    -Oc-281422",63211.8,"Transacciones Ocp Débitos-Créditos","07/07/2020 17:34:55",,
2020-07-07,"Gua-Principal ",7,N/C,6846857,55,1945,"Concpto:01TRANSFERENCIA ENTRE CLIENTES MORENO SANTISTEVAN SANDRA DEL                      000856P4",63266.8,"Transferencia Recibida Spi2 Del Bce","07/07/2020 18:39:36",,
2020-07-07,"Gua-Principal ",7,N/D,6846857,0.2,2884,"Concpto:01TRANSFERENCIA ENTRE CLIENTES MORENO SANTISTEVAN SANDRA DEL                      000856P4",63266.6,"Transferencia Recibida Spi2 Del Bce","07/07/2020 18:39:36",,
2020-07-07,"Gua-Principal ",7,N/D,6846857,0.02,1613,"Concpto:01TRANSFERENCIA ENTRE CLIENTES MORENO SANTISTEVAN SANDRA DEL                      000856P4",63266.58,"Transferencia Recibida Spi2 Del Bce","07/07/2020 18:39:36",,
2020-07-08,"Gua-Principal ",7,CHE,,127,1776,"Pago De Cheques Normal Camara",63139.58,"Pago De Cheques Normal Camara","08/07/2020 3:08:27",,
2020-07-08,"Gua-Alban Borja",7,CHE,2551920,1086,2245,"Pago De Cheques Normal Ventani",62053.58,"Pago De Cheques Normal Ventanilla","08/07/2020 10:17:50",,
2020-07-08,"Gua-Alban Borja",7,CHE,2432720,684.58,2250,"Pago De Cheques Normal Ventani",61369,"Pago De Cheques Normal Ventanilla","08/07/2020 13:46:50",,
2020-07-08,"Gua-Riocentro Ceibos",7,CHE,5076820,1361.55,2241,"Pago De Cheques Normal Ventani",60007.45,"Pago De Cheques Normal Ventanilla","08/07/2020 14:46:01",,
2020-07-08,"Gua-Riocentro Ceibos",7,CHE,5076420,2216.4,2240,"Pago De Cheques Normal Ventani",57791.05,"Pago De Cheques Normal Ventanilla","08/07/2020 14:46:28",,
2020-07-08,"Gua-Riocentro Ceibos",7,DEP,5075920,87,23820,"EFE.: 87.00",57878.05,Depositos,"08/07/2020 14:47:30",,
2020-07-08,"Gua-Principal ",7,N/C,7539064,119.85,517,"NO.RECAP:001400F1200708C PLA258240 MC.PAGO A ESTABL.258240000000000000     ",57997.9,Ocp-Pagos,"09/07/2020 1:09:51",,
2020-07-08,"Gua-Principal ",7,CHE,,1954.89,2254,"Pago De Cheques  Transferido N",56043.01,"Pago De Cheques  Transferido Normal","09/07/2020 1:33:00",,
2020-07-08,"Gua-Principal ",7,CHE,,1058.23,2237,"Pago De Cheques  Transferido N",54984.78,"Pago De Cheques  Transferido Normal","09/07/2020 1:33:01",,
2020-07-08,"Gua-Principal ",7,CHE,,443.25,2239,"Pago De Cheques  Transferido N",54541.53,"Pago De Cheques  Transferido Normal","09/07/2020 1:33:01",,
2020-07-09,"Gua-Principal ",7,CHE,,1138.08,2242,"Pago De Cheques Normal Camara",53403.45,"Pago De Cheques Normal Camara","09/07/2020 3:07:24",,
2020-07-09,"Gua-Principal ",7,N/C,7571005,30,1945,"Concpto:01SOLICITUD DEL ORDENANTE ANDRADE RODRIGUEZ RODRIGO                               000856P4",53433.45,"Transferencia Recibida Spi2 Del Bce","09/07/2020 9:23:44",,
2020-07-09,"Gua-Principal ",7,N/D,7571005,0.2,2884,"Concpto:01SOLICITUD DEL ORDENANTE ANDRADE RODRIGUEZ RODRIGO                               000856P4",53433.25,"Transferencia Recibida Spi2 Del Bce","09/07/2020 9:23:44",,
2020-07-09,"Gua-Principal ",7,N/D,7571005,0.02,1613,"Concpto:01SOLICITUD DEL ORDENANTE ANDRADE RODRIGUEZ RODRIGO                               000856P4",53433.23,"Transferencia Recibida Spi2 Del Bce","09/07/2020 9:23:44",,
2020-07-09,"Gua-El Dorado",7,CHE,9271520,500,2227,"Pago De Cheques Normal Ventani",52933.23,"Pago De Cheques Normal Ventanilla","09/07/2020 12:57:10",,
2020-07-09,Gua-Aguirre,7,CHE,6251620,106.96,2104,"Pago De Cheques Normal Ventani",52826.27,"Pago De Cheques Normal Ventanilla","09/07/2020 13:17:29",,
2020-07-09,"Gua-Alban Borja",7,CHE,2242920,2755.29,2252,"Pago De Cheques Normal Ventani",50070.98,"Pago De Cheques Normal Ventanilla","09/07/2020 13:25:16",,
2020-07-09,"Gua-Nueve De Octubre",7,CHE,4035120,150,2264,"Pago De Cheques Normal Ventani",49920.98,"Pago De Cheques Normal Ventanilla","09/07/2020 14:39:27",,
2020-07-09,"Gua-Principal ",7,N/D,7784014,19.8,844,"Com.:Pago A Proveedores-01-Jun Ocp105-Pacifico    -Cb-280664",49901.18,"Transacción Débitos Ocp Con Comisión","09/07/2020 14:56:56",,
2020-07-09,"Gua-Principal ",7,N/D,7784014,2.38,1613,"Com.:Pago A Proveedores-01-Jun Ocp105-Pacifico    -Cb-280664",49898.8,"Transacción Débitos Ocp Con Comisión","09/07/2020 14:56:56",,
2020-07-09,"Gua-Principal ",7,N/D,7784016,4.95,844,"Com.:Roles De Pago-01-Jun-20 3 Ocp105-Pacifico    -Cb-280664",49893.85,"Transacción Débitos Ocp Con Comisión","09/07/2020 14:56:56",,
2020-07-09,"Gua-Principal ",7,N/D,7784016,0.59,1613,"Com.:Roles De Pago-01-Jun-20 3 Ocp105-Pacifico    -Cb-280664",49893.26,"Transacción Débitos Ocp Con Comisión","09/07/2020 14:56:56",,
2020-07-09,"Gua-Principal ",7,N/D,7784020,12.96,844,"Com.:Transferencias Interbanca Ocp105-Pacifico    -Cb-280664",49880.3,"Transacción Débitos Ocp Con Comisión","09/07/2020 14:56:57",,
2020-07-09,"Gua-Principal ",7,N/D,7784020,1.56,1613,"Com.:Transferencias Interbanca Ocp105-Pacifico    -Cb-280664",49878.74,"Transacción Débitos Ocp Con Comisión","09/07/2020 14:56:57",,
2020-07-09,Gua-Unicentro,7,CHE,9476920,258.03,2272,"Pago De Cheques Normal Ventani",49620.71,"Pago De Cheques Normal Ventanilla","09/07/2020 14:57:55",,
2020-07-09,"Gua-Riocentro Ceibos",7,CHE,4906020,1182.13,2275,"Pago De Cheques Normal Ventani",48438.58,"Pago De Cheques Normal Ventanilla","09/07/2020 15:01:58",,
2020-07-09,"Gua-Riocentro Ceibos",7,CHE,4904220,294.98,2277,"Pago De Cheques Normal Ventani",48143.6,"Pago De Cheques Normal Ventanilla","09/07/2020 15:05:49",,
2020-07-09,"Gua-Alban Borja",7,CHE,2177820,202.72,2278,"Pago De Cheques Normal Ventani",47940.88,"Pago De Cheques Normal Ventanilla","09/07/2020 15:33:13",,
2020-07-09,Gua-Urdesa,7,CHE,5055520,589.95,2274,"Pago De Cheques Normal Ventani",47350.93,"Pago De Cheques Normal Ventanilla","09/07/2020 16:00:44",,
2020-07-09,"Gua-Riocentro Sur",7,CHE,3726320,739.83,2244,"Pago De Cheques Normal Ventani",46611.1,"Pago De Cheques Normal Ventanilla","09/07/2020 16:07:50",,
2020-07-09,"Gua-Riocentro Ceibos",7,CHE,4873520,2191.5,2282,"Pago De Cheques Normal Ventani",44419.6,"Pago De Cheques Normal Ventanilla","09/07/2020 16:27:36",,
2020-07-09,"Gua-Principal ",7,N/C,8092575,73.05,517,"NO.RECAP:001401F1200709C PLA263160 MC.PAGO A ESTABL.263160000000000000     ",44492.65,Ocp-Pagos,"10/07/2020 0:21:26",,
2020-07-10,"Gua-Principal ",7,CHE,,887.58,2132,"Pago De Cheques Normal Camara",43605.07,"Pago De Cheques Normal Camara","10/07/2020 3:18:46",,
2020-07-10,"Gua-Principal ",7,CHE,,437,2283,"Pago De Cheques Normal Camara",43168.07,"Pago De Cheques Normal Camara","10/07/2020 3:18:50",,
2020-07-10,"Gua-Principal ",7,CHE,,184.24,2279,"Pago De Cheques Normal Camara",42983.83,"Pago De Cheques Normal Camara","10/07/2020 3:18:59",,
2020-07-10,"Gua-Principal ",7,CHE,,71.17,1562,"Pago De Cheques Normal Camara",42912.66,"Pago De Cheques Normal Camara","10/07/2020 3:19:01",,
2020-07-10,"Gua-Principal ",7,CHE,,79.65,1563,"Pago De Cheques Normal Camara",42833.01,"Pago De Cheques Normal Camara","10/07/2020 3:19:01",,
2020-07-10,"Gua-Principal ",7,CHE,,138.69,1983,"Pago De Cheques Normal Camara",42694.32,"Pago De Cheques Normal Camara","10/07/2020 3:19:02",,
2020-07-10,"Gua-Principal ",7,CHE,,200,2267,"Pago De Cheques Normal Camara",42494.32,"Pago De Cheques Normal Camara","10/07/2020 3:19:02",,
2020-07-10,Gua-Alborada,7,CHE,3653220,243.84,2231,"Pago De Cheques Normal Ventani",42250.48,"Pago De Cheques Normal Ventanilla","10/07/2020 8:29:13",,
2020-07-10,Gua-Alborada,7,CHE,3652920,256.72,2268,"Pago De Cheques Normal Ventani",41993.76,"Pago De Cheques Normal Ventanilla","10/07/2020 8:29:40",,
2020-07-10,Gua-Alborada,7,CHE,3652620,373.89,2129,"Pago De Cheques Normal Ventani",41619.87,"Pago De Cheques Normal Ventanilla","10/07/2020 8:30:12",,
2020-07-10,Gua-Entrerios,7,CHE,4569920,1000,2265,"Pago De Cheques Normal Ventani",40619.87,"Pago De Cheques Normal Ventanilla","10/07/2020 10:33:24",,
2020-07-10,Gua-Entrerios,7,CHE,4544820,81.28,2228,"Pago De Cheques Normal Ventani",40538.59,"Pago De Cheques Normal Ventanilla","10/07/2020 11:06:59",,
2020-07-10,"Gua-Autobanco Albanbor",7,DEP,7300520,45,225072185,"EFE.: 45.00",40583.59,Depositos,"10/07/2020 12:30:36",,
2020-07-10,Gua-Unicentro,7,CHE,9274820,196.18,2266,"Pago De Cheques Normal Ventani",40387.41,"Pago De Cheques Normal Ventanilla","10/07/2020 14:12:44",,
2020-07-10,"Gua-Mall Del Sur",7,CHE,4747220,35.56,2232,"Pago De Cheques Normal Ventani",40351.85,"Pago De Cheques Normal Ventanilla","10/07/2020 14:24:48",,
2020-07-10,"Gua-Alban Borja",7,CHE,1990920,207.55,2271,"Pago De Cheques Normal Ventani",40144.3,"Pago De Cheques Normal Ventanilla","10/07/2020 14:52:02",,
2020-07-10,"Gua-Autobanco Albanbor",7,CHE,7114920,1183.27,2246,"Pago De Cheques Normal Ventani",38961.03,"Pago De Cheques Normal Ventanilla","10/07/2020 16:25:28",,
2020-07-10,"Gua-Principal ",7,CHE,,91.75,2269,"Pago De Cheque De Transferido ",38869.28,"Pago De Cheque De Transferido Normal (Ruta)","10/07/2020 21:08:21",,
2020-07-10,"Gua-Principal ",7,N/C,8672294,79.18,517,"NO.RECAP:001402F1200710C PLA270038 MC.PAGO A ESTABL.270038000000000000     ",38948.46,Ocp-Pagos,"11/07/2020 0:29:34",,
2020-07-10,"Gua-Principal ",7,CHE,,156.8,2102,"Pago De Cheques  Transferido N",38791.66,"Pago De Cheques  Transferido Normal","11/07/2020 1:33:03",,
2020-07-10,"Gua-Principal ",7,CHE,,491.63,2276,"Pago De Cheques  Transferido N",38300.03,"Pago De Cheques  Transferido Normal","11/07/2020 1:33:07",,
2020-07-10,"Gua-Principal ",7,CHE,,830.74,2280,"Pago De Cheques  Transferido N",37469.29,"Pago De Cheques  Transferido Normal","11/07/2020 1:33:18",,
2020-07-13,"Gua-Principal ",7,CHE,,713,2257,"Pago De Cheques Normal Camara",36756.29,"Pago De Cheques Normal Camara","11/07/2020 4:02:33",,
2020-07-13,"Gua-Riocentro Ceibos",7,CHE,4675120,251.92,2281,"Pago De Cheques Normal Ventani",36504.37,"Pago De Cheques Normal Ventanilla","11/07/2020 10:37:35",,
2020-07-13,"Gua-Alban Borja",7,CHE,1847720,254,2045,"Pago De Cheques Normal Ventani",36250.37,"Pago De Cheques Normal Ventanilla","11/07/2020 13:58:54",,
2020-07-13,"Gua-Principal ",7,N/C,8787204,45,1945,"Concpto:01SOLICITUD DEL ORDENANTE ALARCON NEYRA JOSE RAFAEL                               000856P4",36295.37,"Transferencia Recibida Spi2 Del Bce","13/07/2020 10:10:41",,
2020-07-13,"Gua-Principal ",7,N/D,8787204,0.2,2884,"Concpto:01SOLICITUD DEL ORDENANTE ALARCON NEYRA JOSE RAFAEL                               000856P4",36295.17,"Transferencia Recibida Spi2 Del Bce","13/07/2020 10:10:41",,
2020-07-13,"Gua-Principal ",7,N/D,8787204,0.02,1613,"Concpto:01SOLICITUD DEL ORDENANTE ALARCON NEYRA JOSE RAFAEL                               000856P4",36295.15,"Transferencia Recibida Spi2 Del Bce","13/07/2020 10:10:41",,
2020-07-13,"Gua-Alban Borja",7,CHE,1822320,280.31,2270,"Pago De Cheques Normal Ventani",36014.84,"Pago De Cheques Normal Ventanilla","13/07/2020 10:29:02",,
2020-07-13,"Gua-Alban Borja",7,CHE,1748420,401.32,2236,"Pago De Cheques Normal Ventani",35613.52,"Pago De Cheques Normal Ventanilla","13/07/2020 12:42:07",,
2020-07-13,"Gua-Principal ",7,N/C,9300838,24.44,517,"NO.RECAP:001404F1200713C PLA276582 MC.PAGO A ESTABL.276582000000000000     ",35637.96,Ocp-Pagos,"14/07/2020 0:19:25",,
2020-07-13,"Gua-Principal ",7,N/C,9310715,12.41,517,"NO.RECAP:001405F1200713C PLA273898 MC.PAGO A ESTABL.273898000000000000     ",35650.37,Ocp-Pagos,"14/07/2020 0:37:03",,
2020-07-13,"Gua-Principal ",7,CHE,,1832,2222,"Pago De Cheques  Transferido N",33818.37,"Pago De Cheques  Transferido Normal","14/07/2020 1:05:49",,
2020-07-13,"Gua-Principal ",7,CHE,,158.84,2101,"Pago De Cheques  Transferido N",33659.53,"Pago De Cheques  Transferido Normal","14/07/2020 1:05:57",,
2020-07-14,"Gua-Principal ",7,CHE,,500,2221,"Pago De Cheques Normal Camara",33159.53,"Pago De Cheques Normal Camara","14/07/2020 4:54:27",,
2020-07-14,"Gua-Mall Del Sol",7,CHE,1628120,948.05,2238,"Pago De Cheques Normal Ventani",32211.48,"Pago De Cheques Normal Ventanilla","14/07/2020 14:49:45",,
2020-07-14,"Gua-Alban Borja",7,DEP,1448320,46,25080040,"EFE.: 46.00",32257.48,Depositos,"14/07/2020 16:07:41",,
2020-07-14,"Gua-Alban Borja",7,DEP,1446820,10,25082431,"EFE.: 10.00",32267.48,Depositos,"14/07/2020 16:09:58",,
2020-07-14,"Gua-Alban Borja",7,DEP,1445820,40,25082430,"EFE.: 40.00",32307.48,Depositos,"14/07/2020 16:11:04",,
2020-07-14,"Gua-Alban Borja",7,CHE,1443820,158,2263,"Pago De Cheques Normal Ventani",32149.48,"Pago De Cheques Normal Ventanilla","14/07/2020 16:13:46",,
2020-07-15,"Gua-Paseo Shopping Dur",7,CHE,2977520,1699.47,2247,"Pago De Cheques Normal Ventani",30450.01,"Pago De Cheques Normal Ventanilla","15/07/2020 9:12:33",,
2020-07-15,"Gua-Principal ",7,N/C,9901337,35,1945,"Concpto:01PAGO MES DE JULIO MA VICTORIA ALFREDO GEOVANNY                                  000856P4",30485.01,"Transferencia Recibida Spi2 Del Bce","15/07/2020 9:32:56",,
2020-07-15,"Gua-Principal ",7,N/D,9901337,0.2,2884,"Concpto:01PAGO MES DE JULIO MA VICTORIA ALFREDO GEOVANNY                                  000856P4",30484.81,"Transferencia Recibida Spi2 Del Bce","15/07/2020 9:32:56",,
2020-07-15,"Gua-Principal ",7,N/D,9901337,0.02,1613,"Concpto:01PAGO MES DE JULIO MA VICTORIA ALFREDO GEOVANNY                                  000856P4",30484.79,"Transferencia Recibida Spi2 Del Bce","15/07/2020 9:32:56",,
2020-07-15,"Gua-Principal ",7,N/C,,24,1641," Int. 2168200 A 7850557 - Pago De Media Caja De Vino",30508.79,"Transferencia Intermatico","15/07/2020 19:42:36",,
2020-07-15,"Gua-Principal ",7,N/C,561597,39.59,517,"NO.RECAP:001407F1200715C PLA289802 MC.PAGO A ESTABL.289802000000000000     ",30548.38,Ocp-Pagos,"16/07/2020 0:32:35",,
2020-07-15,"Gua-Principal ",7,CHE,,1000,2258,"Pago De Cheques  Transferido N",29548.38,"Pago De Cheques  Transferido Normal","16/07/2020 0:53:24",,
2020-07-15,"Gua-Principal ",7,CHE,,60.96,2229,"Pago De Cheques  Transferido N",29487.42,"Pago De Cheques  Transferido Normal","16/07/2020 0:53:26",,
2020-07-16,"Gua-Principal ",7,CHE,,500,2224,"Pago De Cheques Normal Camara",28987.42,"Pago De Cheques Normal Camara","16/07/2020 3:19:45",,
2020-07-16,"Gua-Alban Borja",7,DEP,1180720,200,168058752,"EFE.: 200.00",29187.42,Depositos,"16/07/2020 10:45:18",,
2020-07-16,Gua-Urdesa,7,CHE,3938520,500,2302,"Pago De Cheques Normal Ventani",28687.42,"Pago De Cheques Normal Ventanilla","16/07/2020 11:56:02",,
2020-07-16,"Gua-Principal ",7,N/D,757615,2099.33,1992,"Sri                          . Ocp105-Pacifico    -C1-283421",26588.09,"Transacción Débitos Ocp Con Comisión","16/07/2020 12:47:34",,
2020-07-16,"Gua-Principal ",7,N/D,757615,0.2,3060,"Sri                          . Ocp105-Pacifico    -C1-283421",26587.89,"Transacción Débitos Ocp Con Comisión","16/07/2020 12:47:34",,
2020-07-16,"Gua-Principal ",7,N/D,757615,0.02,1613,"Sri                          . Ocp105-Pacifico    -C1-283421",26587.87,"Transacción Débitos Ocp Con Comisión","16/07/2020 12:47:34",,
2020-07-16,"Gua-Principal ",7,N/D,757704,862.96,1992,"Sri                          . Ocp105-Pacifico    -C1-283421",25724.91,"Transacción Débitos Ocp Con Comisión","16/07/2020 12:47:36",,
2020-07-16,"Gua-Principal ",7,N/D,757704,0.2,3060,"Sri                          . Ocp105-Pacifico    -C1-283421",25724.71,"Transacción Débitos Ocp Con Comisión","16/07/2020 12:47:36",,
2020-07-16,"Gua-Principal ",7,N/D,757704,0.02,1613,"Sri                          . Ocp105-Pacifico    -C1-283421",25724.69,"Transacción Débitos Ocp Con Comisión","16/07/2020 12:47:36",,
2020-07-16,Gua-Unicentro,7,CHE,8221220,128,2284,"Pago De Cheques Normal Ventani",25596.69,"Pago De Cheques Normal Ventanilla","16/07/2020 14:28:01",,
2020-07-16,"Gua-Principal ",7,N/C,1150604,19.1,517,"NO.RECAP:001408F1200716C PLA293044 MC.PAGO A ESTABL.293044000000000000     ",25615.79,Ocp-Pagos,"17/07/2020 0:48:53",,
2020-07-17,"Gua-Principal ",7,CHE,,418.86,2230,"Pago De Cheques Normal Camara",25196.93,"Pago De Cheques Normal Camara","17/07/2020 4:26:56",,
2020-07-17,"Gua-Autobanco Albanbor",7,CHE,5047020,31.55,2296,"Pago De Cheques Normal Ventani",25165.38,"Pago De Cheques Normal Ventanilla","17/07/2020 12:21:07",,
2020-07-17,"Gua-Autobanco Albanbor",7,CHE,5046220,136.71,2301,"Pago De Cheques Normal Ventani",25028.67,"Pago De Cheques Normal Ventanilla","17/07/2020 12:21:38",,
2020-07-17,"Gua-Alban Borja",7,CHE,9939420,183.25,2287,"Pago De Cheques Normal Ventani",24845.42,"Pago De Cheques Normal Ventanilla","17/07/2020 12:24:33",,
2020-07-17,"Gua-Alban Borja",7,CHE,9932020,189.85,2289,"Pago De Cheques Normal Ventani",24655.57,"Pago De Cheques Normal Ventanilla","17/07/2020 12:42:27",,
2020-07-17,"Gua-Autobanco Albanbor",7,CHE,4967220,94.64,2299,"Pago De Cheques Normal Ventani",24560.93,"Pago De Cheques Normal Ventanilla","17/07/2020 13:47:57",,
2020-07-17,"Gua-Principal ",7,CHE,,203.2,2223,"Pago De Cheques  Transferido N",24357.73,"Pago De Cheques  Transferido Normal","18/07/2020 0:44:07",,
2020-07-20,"Gua-Principal ",7,CHE,,212.95,2288,"Pago De Cheques Normal Camara",24144.78,"Pago De Cheques Normal Camara","18/07/2020 4:25:48",,
2020-07-20,"Gua-Principal ",7,CHE,,136.71,2298,"Pago De Cheques Normal Camara",24008.07,"Pago De Cheques Normal Camara","18/07/2020 4:25:55",,
2020-07-20,"Gua-Principal ",7,CHE,,195.02,2291,"Pago De Cheques Normal Camara",23813.05,"Pago De Cheques Normal Camara","18/07/2020 4:25:55",,
2020-07-20,"Gua-Principal ",7,CHE,,406.4,2234,"Pago De Cheques Normal Camara",23406.65,"Pago De Cheques Normal Camara","18/07/2020 4:26:10",,
2020-07-20,"Gua-Riocentro Norte",7,CHE,4100020,52.58,2295,"Pago De Cheques Normal Ventani",23354.07,"Pago De Cheques Normal Ventanilla","20/07/2020 11:10:36",,
2020-07-20,"Gua-Riocentro Norte",7,CHE,4099520,94.64,2300,"Pago De Cheques Normal Ventani",23259.43,"Pago De Cheques Normal Ventanilla","20/07/2020 11:11:12",,
2020-07-20,"Gua-Principal ",7,N/C,,406.4,387,00002234-303-2020-07-20,23665.83,"Devolución Por Forma Y Firma Cámara (Pagado);","20/07/2020 15:34:24",,
2020-07-20,"Gua-Principal ",7,N/C,2594306,22,517,"NO.RECAP:001412F1200720C PLA306606 MC.PAGO A ESTABL.306606000000000000     ",23687.83,Ocp-Pagos,"21/07/2020 0:15:32",,
2020-07-20,"Gua-Principal ",7,N/C,2604701,30.08,517,"NO.RECAP:001410F1200720C PLA303866 MC.PAGO A ESTABL.303866000000000000     ",23717.91,Ocp-Pagos,"21/07/2020 0:35:01",,
2020-07-21,"Gua-Principal ",7,CHE,,120,2285,"Pago De Cheques Normal Camara",23597.91,"Pago De Cheques Normal Camara","21/07/2020 4:30:10",,
2020-07-21,Gua-Policentro,7,CHE,5466020,141,2293,"Pago De Cheques Normal Ventani",23456.91,"Pago De Cheques Normal Ventanilla","21/07/2020 15:00:15",,
2020-07-21,"Gua-Principal ",7,N/C,3071498,100,1945,"Concpto:01TRANSFERENCIA ENTRE CLIENTES MACIAS AMORES CARLOS VICTOR                        000856P4",23556.91,"Transferencia Recibida Spi2 Del Bce","21/07/2020 18:29:45",,
